,,,Volumen Facturado (m3) - 2210 - Acumulado,,,,,,,,,,,,,,,,,
16,"16,005",BELLAVISTA,822.14,826.08,803.99,374.01,,,,,,,,,,,0.822143,0.826084,0.803992,0.374009481
16,,TOCACHE,0,0,0,0,,,,,,,,,,,0,0,0,0
17,"17,001",PUERTO MALDONADO,"2,994.66","3,003.34","3,166.90","1,650.06",,,,,,,,,,,2.994657,3.003335,3.166897,1.650061
18,"18,001",CHINCHA ALTA,"3,638.46","3,531.68","3,651.80","1,201.25",,,,,,,,,,,3.638462278,3.531684333,3.651798,1.201252
18,"18,002",TAMBO DE MORA,203.96,202.16,215.69,109.93,,,,,,,,,,,0.203958722,0.202158667,0.215689,0.109928813
18,,EL CARMEN - NO ACTIVO,0,0,0,0,,,,,,,,,,,0,0,0,0
18,"18,003",CHINCHA BAJA,166.39,169.7,178.53,89.06,,,,,,,,,,,0.166394963,0.169701,0.178532,0.089055125
18,"18,004",PUEBLO NUEVO,"1,921.65","1,936.85","1,960.63",958,,,,,,,,,,,1.921650556,1.936846,1.96063,0.957995313
18,"18,005",GROCIO PRADO,785.04,811.13,830.89,368.17,,,,,,,,,,,0.785041759,0.811130667,0.830894,0.36816675
18,"18,006",SUNAMPE,650.1,650.59,693.63,350.96,,,,,,,,,,,0.650104926,0.650594,0.693632,0.350958688
18,"18,007",ALTO LARAN,204.2,212.57,228.25,126.69,,,,,,,,,,,0.204202796,0.212571333,0.228245,0.126685063
19,"19,001",LA MERCED,"1,461.92","1,730.08","1,689.63",857.02,,,,,,,,,,,1.461924329,1.730076,1.689632,0.857021
19,"19,002",SAN RAMON,"1,425.00","1,638.88","1,549.09",772.24,,,,,,,,,,,1.425001622,1.638876,1.549094,0.772242
19,,VITOC,0,0,0,0,,,,,,,,,,,0,0,0,0
19,,PERENE,0,0,0,0,,,,,,,,,,,0,0,0,0
19,"19,003",PICHANAKI,"1,289.63","1,288.63","1,444.35",714.17,,,,,,,,,,,1.289630556,1.288632,1.444347,0.714167
19,,SANTA ROSA,0,0,0,0,,,,,,,,,,,0,0,0,0
19,"19,004",OXAPAMPA,640.33,677.88,703.41,350.44,,,,,,,,,,,0.640331222,0.677881,0.703405,0.350437
19,"19,005",VILLA RICA,649.1,693.02,712.58,357.21,,,,,,,,,,,0.649096,0.693017,0.712584,0.357213
19,"19,006",SATIPO,"1,126.16","1,201.51","1,286.07",616.38,,,,,,,,,,,1.126157889,1.201506,1.286065,0.616375
19,,PANGOA,0,0,0,0,,,,,,,,,,,0,0,0,0
19,,MAZAMARI,0,0,0,0,,,,,,,,,,,0,0,0,0
20,"20,001",MOYOBAMBA,"2,019.74","2,063.28","2,052.75","1,101.73",,,,,,,,,,,2.019738,2.063277,2.052753,1.101728
20,,SORITOR,0,0,0,0,,,,,,,,,,,0,0,0,0
21,"21,001",HUANCAVELICA,"1,946.55","1,744.96","2,020.89","1,020.38",,,,,,,,,,,1.946554,1.744955,2.020893,1.020382938
21,,IZCUCHACA,0,0,0,0,,,,,,,,,,,0,0,0,0
21,,ACOBAMBA,0,0,0,0,,,,,,,,,,,0,0,0,0
21,,CASTROVIRREYNA,0,0,0,0,,,,,,,,,,,0,0,0,0
22,"22,001",MOQUEGUA,"3,967.18","4,050.67","4,124.70","2,136.87",,,,,,,,,,,3.967177333,4.050671,4.124703,2.136866
23,"23,001",YUNGUYO,408.89,431.76,431.78,222.64,,,,,,,,,,,0.408886,0.431762,0.431780087,0.222642
24,"24,001",HUARAL,"3,518.34","3,712.01","4,041.55","2,030.05",,,,,,,,,,,3.518343,3.712012,4.041546,2.030046037
25,"25,001",SAYAN,222.69,236.59,229.79,124.25,,,,,,,,,,,0.222693,0.236587,0.229794,0.124253
25,"25,002",VEGUETA,469.79,649.63,270.67,135.33,,,,,,,,,,,0.46979057,0.64962672,0.270668,0.135334
25,"25,003",HUACHO,"4,347.19","4,530.73","4,416.67","2,310.11",,,,,,,,,,,4.347188,4.530728,4.416669,2.310108
26,"26,001",CARABAYLLO,"8,250.25","8,743.97","9,801.84","5,343.32",,,,,,,,,,,8.25024704,8.74396597,9.80183846,5.34331984
26,"26,002",COMAS,"18,846.27","19,023.40","20,150.88","12,275.30",,,,,,,,,,,18.84627058,19.02339928,20.15088014,12.27529906
26,"26,003",PUENTE PIEDRA,"9,346.85","9,701.91","10,431.95","5,592.06",,,,,,,,,,,9.34684902,9.70190521,10.43195161,5.59206155
26,"26,004",RIMAC,"8,863.71","8,826.72","9,129.45","4,646.75",,,,,,,,,,,8.86371091,8.82671642,9.12945362,4.64675086
26,"26,005",INDEPENDENCIA,"6,953.91","6,970.99","7,137.30","3,781.36",,,,,,,,,,,6.95391281,6.9709921,7.13729599,3.78135812
26,"26,006",SAN MARTIN DE PORRES,"31,498.36","31,628.94","34,121.82","17,833.31",,,,,,,,,,,31.49835686,31.62893653,34.12181724,17.83330926
26,"26,007",LOS OLIVOS,"17,898.40","17,628.07","18,884.42","9,729.39",,,,,,,,,,,17.89839892,17.62807477,18.8844202,9.72938839
26,"26,008",ANCON,"1,698.13","1,853.52","2,170.20","1,159.56",,,,,,,,,,,1.69813124,1.85352048,2.17019565,1.15955606
26,"26,009",SANTA ROSA,497.68,519.49,538.18,275.01,,,,,,,,,,,0.49767766,0.51948537,0.5381824,0.27500754
26,"26,010",CALLAO,"20,090.51","20,576.98","21,491.14","11,197.94",,,,,,,,,,,20.09051325,20.5769832,21.49114301,11.19794268
26,"26,011",BELLAVISTA,"5,397.00","5,343.71","5,489.88","2,806.57",,,,,,,,,,,5.39700058,5.34371196,5.48987633,2.80657134
26,"26,012",CARMEN DE LA LEGUA,"1,453.61","1,497.51","1,493.23",771.57,,,,,,,,,,,1.45360826,1.49750583,1.49323124,0.77156891
26,"26,013",LA PERLA,"3,825.08","3,823.03","3,835.63","1,971.37",,,,,,,,,,,3.82507687,3.82302825,3.83562859,1.97137113
26,"26,014",LA PUNTA,418.08,414.72,430.25,229.52,,,,,,,,,,,0.41808464,0.41471946,0.43024554,0.22951749
26,"26,015",VENTANILLA,"9,083.46","9,572.08","9,135.80","4,606.86",,,,,,,,,,,9.08346383,9.57208475,9.13579732,4.60685745
26,"26,016",EL CERCADO,"26,844.40","26,398.86","26,188.27","13,361.24",,,,,,,,,,,26.84439783,26.39885684,26.18826591,13.36123519
26,"26,017",BREÑA,"5,913.75","5,997.58","6,036.59","3,162.85",,,,,,,,,,,5.91375342,5.99757965,6.03659146,3.16284647
26,"26,018",JESUS MARÍA,"7,766.87","7,933.12","7,992.57","4,133.91",,,,,,,,,,,7.76686863,7.93312265,7.99257142,4.13390857
26,"26,019",LA VICTORIA,"13,410.05","13,318.43","13,134.00","6,748.44",,,,,,,,,,,13.41004822,13.31843171,13.13399613,6.74843664
26,"26,020",MAGDALENA DEL MAR,"5,255.58","5,305.67","5,386.23","2,802.22",,,,,,,,,,,5.25558365,5.30567092,5.38622893,2.80222425
26,"26,021",PUEBLO LIBRE,"6,712.18","6,733.88","6,750.61","3,583.32",,,,,,,,,,,6.7121785,6.73387639,6.75060854,3.58331775
26,"26,022",SAN MIGUEL,"11,401.12","11,688.58","11,951.29","6,386.77",,,,,,,,,,,11.40111583,11.68857741,11.95128826,6.38677293
26,"26,023",ATE-VITARTE,"23,481.15","24,335.28","25,028.42","13,390.85",,,,,,,,,,,23.48115286,24.33527813,25.02841746,13.39084994
26,"26,024",CHACLACAYO,786.08,786.51,798.98,413.43,,,,,,,,,,,0.78607873,0.78650962,0.79897831,0.41343492
26,"26,025",CIENEGUILLA,700,709.71,759.1,413.32,,,,,,,,,,,0.70000043,0.70971057,0.75909778,0.41331956
26,"26,026",EL AGUSTINO,"8,893.46","8,981.72","9,316.25","5,022.58",,,,,,,,,,,8.89345947,8.98171906,9.31624633,5.02258239
26,"26,027",LA MOLINA,"17,265.87","16,727.23","16,477.00","8,790.09",,,,,,,,,,,17.26586556,16.72723335,16.47699526,8.79008873
26,"26,028",LURIGANCHO,"1,627.23","1,811.82","1,975.51","1,145.63",,,,,,,,,,,1.62722668,1.81181668,1.97551236,1.1456332
26,"26,029",SAN LUIS,"4,626.20","4,479.16","4,543.69","2,490.16",,,,,,,,,,,4.62620054,4.47915538,4.54368755,2.49015883
26,"26,030",SANTA ANITA,"8,967.20","9,311.61","9,349.91","4,892.16",,,,,,,,,,,8.9672004,9.31160567,9.34990926,4.89215877
26,"26,031",SAN JUAN DE LURIGANCHO,"38,019.42","38,527.41","39,441.10","21,101.84",,,,,,,,,,,38.01941932,38.52740596,39.44109628,21.10184128
26,"26,032",LURIN,"2,053.80","2,160.45","2,228.42","1,194.01",,,,,,,,,,,2.05379674,2.1604489,2.2284218,1.19401312
26,"26,033",PACHACAMAC,"1,779.90","1,995.52","2,219.28","1,215.63",,,,,,,,,,,1.77990191,1.99552009,2.21928163,1.21562768
26,"26,034",PUCUSANA,254.5,289.97,306.06,151.11,,,,,,,,,,,0.25450104,0.2899719,0.30605613,0.15111221
26,"26,035",SAN JUAN DE MIRAFLORES,"16,912.31","17,342.98","17,551.91","9,315.17",,,,,,,,,,,16.91230694,17.34298405,17.55191181,9.31517327
26,"26,036",VILLA MARIA DEL TRIUNFO,"14,366.48","14,676.28","15,074.94","8,207.39",,,,,,,,,,,14.36647583,14.67628348,15.07494416,8.20739059
26,"26,037",VILLA EL SALVADOR,"13,911.01","14,396.13","14,849.76","8,079.77",,,,,,,,,,,13.9110126,14.39613395,14.84975924,8.07976831
26,"26,038",BARRANCO,"3,169.03","3,163.06","3,197.10","1,650.06",,,,,,,,,,,3.16903313,3.16305816,3.19710306,1.65005896
26,"26,039",CHORRILLOS,"16,851.94","16,875.00","17,557.64","9,202.58",,,,,,,,,,,16.85194043,16.87499969,17.55763898,9.20258075
26,"26,040",LINCE,"5,301.17","5,196.25","5,159.66","2,708.78",,,,,,,,,,,5.30117175,5.19625302,5.15965553,2.70878399
26,"26,041",MIRAFLORES,"15,644.95","15,549.74","15,585.07","8,122.19",,,,,,,,,,,15.64494748,15.54974291,15.58506742,8.12219131
26,"26,042",SAN BORJA,"12,072.09","12,031.81","12,046.33","6,365.93",,,,,,,,,,,12.07209275,12.03181378,12.04633247,6.36593088
26,"26,043",SAN ISIDRO,"12,927.90","12,182.98","11,991.03","6,217.91",,,,,,,,,,,12.92790375,12.18298432,11.99103494,6.21791188
26,"26,044",SURCO,"31,263.83","31,433.55","31,584.70","16,684.73",,,,,,,,,,,31.26382748,31.43355195,31.58469523,16.68473253
26,"26,045",SURQUILLO,"7,567.45","7,547.91","7,666.74","4,003.56",,,,,,,,,,,7.56744739,7.54791398,7.66673849,4.00356452
26,"26,046",PUNTA NEGRA,153.27,155.76,188.17,108.53,,,,,,,,,,,0.15327372,0.15576061,0.18816829,0.10853136
26,"26,047",PUNTA HERMOSA,213.14,221.74,242.16,142.53,,,,,,,,,,,0.21313717,0.22174441,0.24215992,0.14252797
26,"26,048",SAN BARTOLO,240.48,255.82,297.44,164.56,,,,,,,,,,,0.24047996,0.25582318,0.29744083,0.16455629
