,,,Conexiones Activas de agua potable (Conex) - 2120,,,,,,,,,,,
26,"26,021",PUEBLO LIBRE,"13,320","13,331","13,350","13,413",,,,,,,,
26,"26,022",SAN MIGUEL,"21,970","22,029","22,096","22,129",,,,,,,,
26,"26,023",ATE-VITARTE,"82,033","84,581","86,027","87,178",,,,,,,,
26,"26,024",CHACLACAYO,"3,090","3,114","3,123","3,208",,,,,,,,
26,"26,025",CIENEGUILLA,"3,031","3,118","3,227","3,253",,,,,,,,
26,"26,026",EL AGUSTINO,"25,820","25,967","26,115","26,218",,,,,,,,
26,"26,027",LA MOLINA,"27,941","28,249","28,433","28,577",,,,,,,,
26,"26,028",LURIGANCHO,"7,972","8,444","8,791","9,441",,,,,,,,
26,"26,029",SAN LUIS,"7,914","7,975","7,991","8,018",,,,,,,,
26,"26,030",SANTA ANITA,"22,708","22,811","22,918","23,076",,,,,,,,
26,"26,031",SAN JUAN DE LURIGANCHO,"147,256","149,632","151,599","152,433",,,,,,,,
26,"26,032",LURIN,"8,108","8,334","8,577","8,624",,,,,,,,
26,"26,033",PACHACAMAC,"12,166","12,527","13,098","13,224",,,,,,,,
26,"26,034",PUCUSANA,"1,522","1,527","1,661","1,664",,,,,,,,
26,"26,035",SAN JUAN DE MIRAFLORES,"56,691","57,101","57,608","57,865",,,,,,,,
26,"26,036",VILLA MARIA DEL TRIUNFO,"61,049","62,047","63,379","64,210",,,,,,,,
26,"26,037",VILLA EL SALVADOR,"66,034","66,507","67,295","67,610",,,,,,,,
26,"26,038",BARRANCO,"6,567","6,558","6,581","6,603",,,,,,,,
26,"26,039",CHORRILLOS,"40,411","41,079","41,511","41,704",,,,,,,,
26,"26,040",LINCE,"10,364","10,409","10,405","10,419",,,,,,,,
26,"26,041",MIRAFLORES,"16,666","16,650","16,592","16,604",,,,,,,,
26,"26,042",SAN BORJA,"19,997","20,070","20,061","20,076",,,,,,,,
26,"26,043",SAN ISIDRO,"11,819","11,783","11,758","11,749",,,,,,,,
26,"26,044",SURCO,"50,759","51,149","51,383","51,552",,,,,,,,
26,"26,045",SURQUILLO,"13,389","13,437","13,496","13,514",,,,,,,,
26,"26,046",PUNTA NEGRA,955,977,"1,044","1,066",,,,,,,,
26,"26,047",PUNTA HERMOSA,"1,024","1,053","1,142","1,144",,,,,,,,
26,"26,048",SAN BARTOLO,"1,394","1,527","1,620","1,617",,,,,,,,
26,"26,049",MI PERÚ,,,"8,354","8,491",,,,,,,,
27,"27,001",ILO,"21,648","21,929","22,023","22,303",,,,,,,,
28,"28,001",TRUJILLO,"56,304","56,074","56,842","56,982",,,,,,,,
28,,PACASMAYO,,,,,,,,,,,,
28,"28,002",CHEPEN,"7,026","7,184","7,351","7,302",,,,,,,,
28,,VIRU,,,,,,,,,,,,
28,,CHAO,,,,,,,,,,,,
28,"28,003",HUANCHACO,"5,190","6,959","7,329","7,411",,,,,,,,
28,"28,004",MOCHE,"2,508","2,768","3,009","3,037",,,,,,,,
28,"28,005",SALAVERRY,"2,054","3,170","3,526","3,604",,,,,,,,
28,,GUADALUPE,,,,,,,,,,,,
