,,,Conexiones Totales de Alcantarillado (Conex) - 2130,,,,,,,,,,,
29,"29,023",BATAN GRANDE,587,595,596,596,,,,,,,,
29,"29,024",JAYANCA,"1,561","1,632","1,724","1,724",,,,,,,,
29,"29,025",MOCUPE,704,713,794,794,,,,,,,,
29,"29,026",PAMPA GRANDE,670,674,705,705,,,,,,,,
30,"30,001",AREQUIPA METROPOLITANA,"201,587","214,142","227,137","230,207",,,,,,,,
30,"30,002",LA JOYA,"1,180","1,533","1,542","1,568",,,,,,,,
30,"30,003",CAMANA,"4,304","4,608","4,752","4,836",,,,,,,,
30,"30,004",CARAVELI,"1,038","1,064","1,090","1,107",,,,,,,,
30,"30,005",ATICO,0,0,,0,,,,,,,,
30,"30,006",CHALA,681,723,756,767,,,,,,,,
30,"30,007",YAUCA,0,0,,0,,,,,,,,
30,"30,008",APLAO,"1,453","1,544","1,728","1,739",,,,,,,,
30,"30,009",CHIVAY,"1,549","1,581","1,500","1,660",,,,,,,,
30,,NO ACTIVO (CAYLLOMA),,,,,,,,,,,,
30,"30,010",EL PEDREGAL,"2,688","3,112","3,112","3,360",,,,,,,,
30,"30,011",CHUQUIBAMBA,896,905,"1,024","1,032",,,,,,,,
30,"30,012",MOLLENDO,"8,175","8,339","8,695","8,784",,,,,,,,
30,"30,013",COCACHACRA,"1,183","1,234","1,264","1,281",,,,,,,,
30,"30,014",LA CURVA,457,463,469,475,,,,,,,,
30,"30,015",MATARANI,896,914,947,953,,,,,,,,
30,"30,016",MEJIA,,,,,,,,,,,,
30,"30,017",PUNTA DE BOMBON,"1,757","1,782","1,809","1,829",,,,,,,,
30,"30,018",EL ARENAL,417,425,448,455,,,,,,,,
30,"30,019",COTAHUASI,417,533,621,627,,,,,,,,
31,"31,001",CUSCO,"71,705","72,267","75,095","77,076",,,,,,,,
31,,ACOMAYO,,,,,,,,,,,,
31,,URUBAMBA,,,,,,,,,,,,
31,"31,002",PAUCARTAMBO,504,524,545,544,,,,,,,,
31,,HUAROCONDO,,,,,,,,,,,,
32,"32,001",PIURA,"50,511","54,141","57,157","57,203",,,,,,,,
32,"32,002",SULLANA,"29,062","29,620","29,945","30,089",,,,,,,,
32,"32,003",TALARA,"17,356","17,541","17,983","18,186",,,,,,,,
32,"32,004",CHULUCANAS,"6,497","6,705","7,002","7,333",,,,,,,,
32,"32,005",QUERECOTILLO,"1,963","2,018","2,057","2,076",,,,,,,,
32,"32,006",MARCAVELICA,"1,453","1,639","1,700","1,747",,,,,,,,
32,"32,007",CATACAOS,"6,106","6,262","6,659","6,713",,,,,,,,
32,"32,008",TAMARINDO,751,819,854,866,,,,,,,,
32,"32,009",LAS LOMAS,369,372,194,200,,,,,,,,
32,"32,010",LANCONES,60,64,64,65,,,,,,,,
32,"32,011",SALITRAL,649,728,741,764,,,,,,,,
32,"32,012",MORROPON,"1,603","1,686","1,722","1,746",,,,,,,,
32,"32,013",YACILA,,,,,,,,,,,,
32,"32,014",COLAN,127,138,170,174,,,,,,,,
32,"32,015",PUEBLO NUEVO,"1,107","1,153","1,197","1,238",,,,,,,,
32,"32,016",EL ARENAL,181,197,204,211,,,,,,,,
32,"32,017",VIVIATE,195,295,312,325,,,,,,,,
32,"32,018",AMOTAPE,,,,,,,,,,,,
32,"32,019",EL TAMBO,,,,,,,,,,,,
32,"32,020",MIRAMAR,155,167,175,182,,,,,,,,
32,"32,021",LA HUACA,37,85,137,145,,,,,,,,
32,"32,022",VICHAYAL,153,189,200,205,,,,,,,,
32,"32,023",NEGRITOS,"3,032","3,129","3,138","3,148",,,,,,,,
32,,EL ALTO,,,,"2,121",,,,,,,,
32,"32,024",MANCORA,"1,825","2,066","2,091","2,109",,,,,,,,
32,"32,025",LOS ORGANOS,"2,323","2,373","2,378","2,390",,,,,,,,
32,"32,026",PAITA,"8,523","8,792","8,918","15,884",,,,,,,,
32,"32,027",CASTILLA,"19,501","20,142","20,625","21,384",,,,,,,,
32,,LOBITOS,,,,,,,,,,,,
33,"33,001",HUARAZ,"18,527","19,227","19,638","20,256",,,,,,,,
33,"33,002",AIJA,386,387,392,395,,,,,,,,
33,"33,003",CARAZ,"3,291","3,446","3,494","3,537",,,,,,,,
33,,YUNGAY,,,,,,,,,,,,
33,,RECUAY,,,,,,,,,,,,
33,"33,004",CHIQUIAN,"1,099","1,111","1,119","1,119",,,,,,,,
34,"34,001",QUILLABAMBA,"6,389","6,704","6,776","7,026",,,,,,,,
35,"35,001",BAGUA,"4,797","4,927","5,214","5,334",,,,,,,,
36,"36,001",BARRANCA,"12,509","12,901","13,450","13,450",,,,,,,,
36,"36,002",SUPE,"2,378",,"2,551","2,608",,,,,,,,
37,"37,001",ICA,"38,681","40,069","41,343","41,814",,,,,,,,
37,"37,002",PALPA,"1,705","1,733","1,754","1,761",,,,,,,,
37,"37,003",PARCONA,"6,495","6,618","6,709","6,743",,,,,,,,
37,"37,004",LOS AQUIJES,69,"1,733",374,370,,,,,,,,
37,,INACTIVO (SANTIAGO),,,,,,,,,,,,
38,"38,001",SICUANI,"9,975","10,245","10,882","10,882",,,,,,,,
38,"38,002",SANTO TOMAS,,"1,096","1,180","1,180",,,,,,,,
39,"39,001",TARMA,"9,330","9,467","8,613","8,704",,,,,,,,
40,"40,001",AZANGARO,,"4,575","4,875","4,875",,,,,,,,
40,,LAMPA,,,,,,,,,,,,
40,,CARABAYA,,,,,,,,,,,,
40,,SANDIA,,,,,,,,,,,,
40,,PUTINA,,,,,,,,,,,,
40,"40,002",HUANCANE,"2,371","2,463","2,497","2,504",,,,,,,,
41,"41,001",JULIACA,"48,836","50,924","52,981","52,981",,,,,,,,
42,"42,001",JAUJA,"7,029","7,205","7,377","7,459",,,,,,,,
42,"42,002",CHUPACA,"2,705","3,069","3,252","3,410",,,,,,,,
42,"42,003",CONCEPCION,"3,021","3,116","3,242","3,294",,,,,,,,
43,"43,001",ABANCAY,"12,201","13,026","13,882","14,291",,,,,,,,
44,"44,001",ANDAHUAYLAS,"5,092","5,705","6,422","6,265",,,,,,,,
45,"45,001",JAEN,"13,537","14,737","15,120","15,614",,,,,,,,
45,"45,002",BELLAVISTA,911,921,952,965,,,,,,,,
45,"45,003",SAN IGNACIO,"1,358","1,365","1,378","1,406",,,,,,,,
46,"46,001",HUANCAYO,"21,770","22,347","23,017","23,688",,,,,,,,
46,"46,002",EL TAMBO,"26,734","27,361","28,094","28,610",,,,,,,,
46,"46,003",CHILCA,"12,913","13,272","13,682","13,998",,,,,,,,
46,"46,004",HUANCÁN ,73,76,72,72,,,,,,,,
46,"46,005",CAJAS,6,7,7,6,,,,,,,,
46,"46,006",ORCOTUNA ,535,598,603,598,,,,,,,,
46,"46,007",VIQUES,,,,,,,,,,,,
46,"46,008",HUACRAPUQUIO,,,,,,,,,,,,
47,"47,001",CALCA,"3,150",,"3,598","3,598",,,,,,,,
48,"48,001",AYAVIRI,"6,061",,"6,412","6,277",,,,,,,,
50,"50,001",LA OROYA,"2,653","2,688","2,704","2,697",,,,,,,,
51,"51,001",RIOJA,"3,181","3,247","3,269","3,269",,,,,,,,
