,,,Volumen Producido (m3) - 3130 - Acumulado,,,,,,,,,,,,,,,,,
28,"28,013",VICTOR LARCO,"4,304","4,279","4,488","2,555",,,,,,,,,,,4.30422431,4.27895474,4.4880228,2.555381578
29,"29,001",CHICLAYO,"35,670","35,111","33,897","16,970",,,,,,,,,,,35.67038338,35.11085403,33.89657584,16.96959014
29,"29,002",LAMBAYEQUE,"3,735","3,840","3,753","2,047",,,,,,,,,,,3.7347034,3.840043,3.753104,2.046837797
29,"29,003",FERREÑAFE,"2,139","2,512","2,379","1,185",,,,,,,,,,,2.1392283,2.5123371,2.3793549,1.184661229
29,"29,004",PIMENTEL,0,0,"1,132",520,,,,,,,,,,,0,0,1.132415031,0.520156696
29,,CHONGOYAPE,0,0,0,0,,,,,,,,,,,0,0,0,0
29,"29,005",ETEN,472,525,448,207,,,,,,,,,,,0.47199,0.525174,0.448192,0.2066388
29,"29,006",MONSEFU,"1,143","1,115","1,347",624,,,,,,,,,,,1.142865,1.1150475,1.347408,0.6241668
29,"29,007",ETEN PUERTO,245,266,263,144,,,,,,,,,,,0.245425,0.265657,0.263104,0.1438776
29,"29,008",NUEVA ARICA,215,201,198,96,,,,,,,,,,,0.215317,0.2012205,0.197884,0.0962604
29,"29,009",OYOTUN,520,517,416,220,,,,,,,,,,,0.519834,0.5165545,0.416293,0.2198052
29,"29,010",PICSI,293,341,362,182,,,,,,,,,,,0.29278571,0.34079071,0.362379,0.181717771
29,"29,011",REQUE,376,444,542,285,,,,,,,,,,,0.376306,0.444286,0.541834,0.2849784
29,"29,012",ZAÑA,250,253,265,137,,,,,,,,,,,0.249914,0.253413,0.264705,0.1370376
29,"29,013",SANTA ROSA,437,455,411,196,,,,,,,,,,,0.436853,0.4546875,0.410768,0.1961988
29,"29,014",ILLIMO,321,289,282,138,,,,,,,,,,,0.32082909,0.2886831,0.2823874,0.138389491
29,,PALLANCA,0,0,0,0,,,,,,,,,,,0,0,0,0
29,"29,015",MOCHUMI,315,264,338,171,,,,,,,,,,,0.31547896,0.26414417,0.33754593,0.171194347
29,"29,016",MOTUPE,"1,186","1,213","1,393",712,,,,,,,,,,,1.18636988,1.21315871,1.393022374,0.711877246
29,"29,017",OLMOS,770,"1,169","1,054",526,,,,,,,,,,,0.76957369,1.16918424,1.05438216,0.525728818
29,"29,018",PACORA,215,280,180,91,,,,,,,,,,,0.2153167,0.280058,0.180109,0.0910889
29,"29,019",SALAS,52,52,49,24,,,,,,,,,,,0.0517931,0.05238752,0.04878304,0.024261997
