,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,,,,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,
26,"26,016",EL CERCADO,"56,770","56,708","56,617","56,581",,,,,,,,
26,"26,017",BREÑA,"14,422","14,469","14,556","14,598",,,,,,,,
26,"26,018",JESUS MARÍA,"10,982","11,004","11,031","11,073",,,,,,,,
26,"26,019",LA VICTORIA,"32,770","32,874","33,020","33,039",,,,,,,,
26,"26,020",MAGDALENA DEL MAR,"8,876","8,915","8,968","8,977",,,,,,,,
26,"26,021",PUEBLO LIBRE,"13,575","13,610","13,657","13,669",,,,,,,,
26,"26,022",SAN MIGUEL,"22,327","22,405","22,470","22,528",,,,,,,,
26,"26,023",ATE-VITARTE,"85,492","87,977","89,797","90,711",,,,,,,,
26,"26,024",CHACLACAYO,"3,294","3,338","3,353","3,383",,,,,,,,
26,"26,025",CIENEGUILLA,"3,235","3,288","3,439","3,442",,,,,,,,
26,"26,026",EL AGUSTINO,"26,569","26,848","27,079","27,173",,,,,,,,
26,"26,027",LA MOLINA,"28,554","28,914","29,177","29,276",,,,,,,,
26,"26,028",LURIGANCHO,"8,755","9,630","10,032","10,723",,,,,,,,
26,"26,029",SAN LUIS,"8,073","8,122","8,170","8,189",,,,,,,,
26,"26,030",SANTA ANITA,"23,086","23,221","23,399","23,494",,,,,,,,
26,"26,031",SAN JUAN DE LURIGANCHO,"151,089","152,936","155,028","155,765",,,,,,,,
26,"26,032",LURIN,"8,567","8,782","8,910","8,994",,,,,,,,
26,"26,033",PACHACAMAC,"12,426","12,877","13,385","13,537",,,,,,,,
26,"26,034",PUCUSANA,"1,680","1,728","1,753","1,767",,,,,,,,
26,"26,035",SAN JUAN DE MIRAFLORES,"57,512","57,872","58,452","58,626",,,,,,,,
26,"26,036",VILLA MARIA DEL TRIUNFO,"62,555","63,363","64,686","65,389",,,,,,,,
26,"26,037",VILLA EL SALVADOR,"68,103","68,359","69,082","69,251",,,,,,,,
26,"26,038",BARRANCO,"6,784","6,807","6,778","6,796",,,,,,,,
26,"26,039",CHORRILLOS,"41,619","42,142","42,492","42,634",,,,,,,,
26,"26,040",LINCE,"10,742","10,782","10,744","10,753",,,,,,,,
26,"26,041",MIRAFLORES,"17,339","17,283","17,169","17,162",,,,,,,,
26,"26,042",SAN BORJA,"20,370","20,396","20,394","20,397",,,,,,,,
26,"26,043",SAN ISIDRO,"12,314","12,298","12,236","12,217",,,,,,,,
26,"26,044",SURCO,"52,241","52,556","52,652","52,747",,,,,,,,
26,"26,045",SURQUILLO,"13,721","13,797","13,805","13,817",,,,,,,,
26,"26,046",PUNTA NEGRA,"1,084","1,111","1,140","1,170",,,,,,,,
26,"26,047",PUNTA HERMOSA,"1,303","1,254","1,281","1,297",,,,,,,,
26,"26,048",SAN BARTOLO,"1,534","1,703","1,734","1,743",,,,,,,,
26,"26,049",MI PERÚ,,,"8,850","8,808",,,,,,,,
27,"27,001",ILO,"24,247","24,814","25,170","25,615",,,,,,,,
28,"28,001",TRUJILLO,"58,870","59,700","60,155","60,414",,,,,,,,
28,,PACASMAYO,0,,,,,,,,,,,
28,"28,002",CHEPEN,"7,747","7,972","8,268","8,324",,,,,,,,
28,,VIRU,0,,,,,,,,,,,
28,,CHAO,0,,,,,,,,,,,
28,"28,003",HUANCHACO,"5,700","7,686","8,135","8,245",,,,,,,,
28,"28,004",MOCHE,"2,783","3,128","3,369","3,397",,,,,,,,
28,"28,005",SALAVERRY,"2,256","3,466","3,972","4,067",,,,,,,,
28,,GUADALUPE,0,,,,,,,,,,,
28,,SAN PEDRO DE LLOC,0,,,,,,,,,,,
28,"28,006",CHOCOPE,"1,259","1,327","1,355","1,360",,,,,,,,
28,"28,007",PUERTO MALABRIGO,"1,548","1,561","1,597","1,605",,,,,,,,
28,"28,008",PAIJAN,"3,494","3,605","3,697","3,725",,,,,,,,
28,"28,009",LA ESPERANZA,"32,187","32,806","33,106","33,214",,,,,,,,
28,"28,010",EL PORVENIR,"30,332","30,768","31,556","31,977",,,,,,,,
