"Municipalidad","PIA","PIM","Certificación","Compromiso Anual","Atención de Compromiso Mensual","Devengado","Girado","avance","periodo","PROVINCIA"
"MUNICIPALIDAD DISTRITAL VEINTISIETE DE NOVIEMBRE",1326875,1092384,1075925,1075125,1075125,1075125,1066293,98.4,2019,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA",11562466,24896936,21648144,15701509,15313788,15313788,15313062,61.5,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE ANTIOQUIA",947765,2787052,2020023,2012850,2011250,1988727,1956211,71.4,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE CALLAHUANCA",2243148,3609829,2809079,2590783,2354226,2354226,2353886,65.2,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE CARAMPOMA",1732783,2481475,1786047,1635992,1546693,1536293,1462883,61.9,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE CHICLA",7602608,12482135,11202885,11032632,10241169,9954257,9886776,79.7,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN JOSE DE LOS CHORRILLOS - CUENCA",676247,819882,801614,797976,796832,796832,774778,97.2,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE HUACHUPAMPA",2007672,6026956,4777130,4740037,4685859,4684659,4668814,77.7,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE HUANZA",1872509,4213928,3907167,3378713,3378713,3377757,3377747,80.2,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE HUAROCHIRI",1029771,1925222,1657012,1651996,1583806,1583806,1583806,82.3,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE LAHUAYTAMBO",747197,1735635,1717798,1709596,1700878,1700878,1699018,98,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE LANGA",2534415,1693785,1678607,869392,869392,865337,865301,51.1,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE LARAOS",1923970,3054927,2673684,2208560,2166935,2164935,2164935,70.9,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE MARIATANA",1079662,1165757,1159758,1074417,1074384,1061984,1061968,91.1,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE RICARDO PALMA",2820229,6020192,5035684,4923334,3678413,3538283,3441068,58.8,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN ANDRES DE TUPICOCHA",1009609,6056834,5866382,2318611,2314681,2314679,2313217,38.2,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN ANTONIO",9747503,14757948,13886439,12596576,12149391,11733485,11733485,79.5,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE SAN ANTONIO",9747503,14757948,13886439,12596576,12149391,11733485,11733485,79.5,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN BARTOLOME",1416373,1974293,1826697,1725716,1724713,1690062,1686820,85.6,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN DAMIAN",900413,1264133,1111002,1109502,1109502,1109502,1109502,87.8,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN JUAN DE IRIS",1681830,2304118,1894112,1888560,1888560,1888560,1888560,82,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TANTARANCHE",668336,1416207,922491,682773,620846,602030,600818,42.5,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN LORENZO DE QUINTI",1023161,1452585,1384612,1379815,1378553,1378553,1376047,94.9,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN MATEO",4262768,5568345,4524532,4512485,4512485,4512085,4416251,81,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN MATEO DE OTAO",1553594,1920138,1653457,1627920,1605866,1605866,1592894,83.6,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE CASTA",1946543,2092410,1893763,1893625,1889232,1885593,1885593,90.1,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE HUANCAYRE",524716,892969,869465,867097,866868,862868,839158,96.6,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANGALLAYA",683538,2197456,2144621,2136932,2136932,2135389,2125191,97.2,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE COCACHACRA",1125905,3271030,2319787,2298172,2289832,2289832,2289832,70,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTA EULALIA",7368660,13731102,12747113,8094691,8094691,8094691,8094691,59,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTIAGO DE ANCHUCAYA",645664,1374563,1088273,1088273,1088273,1088273,1088273,79.2,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA",779944,2151487,1805851,1295765,981624,976470,964253,45.4,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE LOS OLLEROS",4409772,13695066,10926756,10169761,8060210,7917046,7751402,57.8,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SURCO",1874217,4648290,3841707,3585847,3575170,3571670,3546670,76.8,2019,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD PROVINCIAL DE HUAURA",40229248,50569947,46939189,40901655,37880801,37685956,37586200,74.5,2019,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE AMBAR",1421603,2301524,1730259,1492263,1492263,1492263,1491357,64.8,2019,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE CALETA DE CARQUIN",2267426,6596957,6030986,3186829,3119721,3119721,3117314,47.3,2019,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE CHECRAS",1312872,2739748,2486055,1354301,1329615,1308400,1305665,47.8,2019,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE HUALMAY",6644822,10663094,9745448,8794240,8659957,8546254,8461459,80.1,2019,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE HUAURA",11599364,17925747,15966410,14964225,13311226,13082144,13076130,73,2019,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
