"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de primaria",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Lectura,,,,,,Matemática,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio
020510,ÁNCASH,BOLOGNESI,HUAYLLACAYAN,100.0,100.0,0,6,1,0.0,85.7,14.3,0,5,2,0.0,71.4,28.6
020511,ÁNCASH,BOLOGNESI,LA PRIMAVERA,100.0,100.0,1,5,0,16.7,83.3,0.0,5,1,0,83.3,16.7,0.0
020512,ÁNCASH,BOLOGNESI,MANGAS,100.0,100.0,0,5,3,0.0,62.5,37.5,3,2,3,37.5,25.0,37.5
020513,ÁNCASH,BOLOGNESI,PACLLON,100.0,100.0,2,9,5,12.5,56.3,31.3,7,7,2,43.8,43.8,12.5
020514,ÁNCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,100.0,100.0,0,5,2,0.0,71.4,28.6,4,1,2,57.1,14.3,28.6
020515,ÁNCASH,BOLOGNESI,TICLLOS,100.0,100.0,1,9,0,10.0,90.0,0.0,5,4,1,50.0,40.0,10.0
020601,ÁNCASH,CARHUAZ,CARHUAZ,100.0,99.2,32,214,128,8.6,57.2,34.2,148,142,84,39.6,38.0,22.5
020602,ÁNCASH,CARHUAZ,ACOPAMPA,100.0,94.3,0,10,19,0.0,34.5,65.5,1,11,17,3.4,37.9,58.6
020603,ÁNCASH,CARHUAZ,AMASHCA,100.0,100.0,0,10,2,0.0,83.3,16.7,4,7,1,33.3,58.3,8.3
020604,ÁNCASH,CARHUAZ,ANTA,100.0,91.2,5,15,11,16.1,48.4,35.5,13,8,10,41.9,25.8,32.3
020605,ÁNCASH,CARHUAZ,ATAQUERO,100.0,89.3,12,12,1,48.0,48.0,4.0,19,5,1,76.0,20.0,4.0
020606,ÁNCASH,CARHUAZ,MARCARA,100.0,98.7,37,150,33,16.8,68.2,15.0,108,91,21,49.1,41.4,9.5
020607,ÁNCASH,CARHUAZ,PARIAHUANCA,100.0,90.5,5,12,2,26.3,63.2,10.5,6,11,2,31.6,57.9,10.5
020608,ÁNCASH,CARHUAZ,SAN MIGUEL DE ACO,100.0,96.4,8,37,8,15.1,69.8,15.1,26,21,6,49.1,39.6,11.3
020609,ÁNCASH,CARHUAZ,SHILLA,100.0,100.0,0,25,6,0.0,80.6,19.4,3,13,15,9.7,41.9,48.4
020610,ÁNCASH,CARHUAZ,TINCO,100.0,97.8,14,30,1,31.1,66.7,2.2,37,7,1,82.2,15.6,2.2
