"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de secundaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,,HGE,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
020107,Ancash,Huaraz,La Libertad,100.0,100.0,16,13,2,0,51.6,41.9,6.5,.0,23,7,1,0,74.2,22.6,3.2,.0,11,13,5,1,36.7,43.3,16.7,3.3
020108,Ancash,Huaraz,Olleros,100.0,100.0,19,17,3,2,45.2,42.3,7.4,5.0,19,18,1,3,45.2,44.9,2.4,7.4,10,19,9,2,25.1,47.4,22.6,4.9
020109,Ancash,Huaraz,Pampas,100.0,100.0,6,10,3,0,31.6,52.6,15.8,.0,5,12,2,0,26.3,63.2,10.5,.0,5,7,4,3,26.3,36.8,21.1,15.8
020110,Ancash,Huaraz,Pariacoto,100.0,100.0,47,29,14,3,50.5,31.2,15.1,3.2,53,26,9,5,57.0,28.0,9.7,5.4,45,22,17,9,48.2,23.8,18.3,9.7
020111,Ancash,Huaraz,Pira,100.0,96.8,31,26,3,2,49.7,41.3,5.4,3.6,40,19,2,1,64.1,30.6,3.6,1.7,33,15,13,1,52.6,24.4,21.1,1.9
020112,Ancash,Huaraz,Tarica,100.0,100.0,33,34,18,7,35.9,37.0,19.6,7.6,35,39,10,8,38.0,42.4,10.9,8.7,29,21,35,7,31.4,22.9,38.0,7.6
020201,Ancash,Aija,Aija,100.0,100.0,7,11,8,2,25.0,39.3,28.6,7.1,10,12,4,2,35.7,42.9,14.3,7.1,9,8,6,6,29.6,25.9,22.2,22.2
020202,Ancash,Aija,Coris,100.0,97.9,22,19,4,1,47.7,41.2,8.8,2.2,29,15,2,0,62.6,32.9,4.5,.0,16,17,12,1,34.8,36.8,26.2,2.2
020203,Ancash,Aija,Huacllan,100.0,100.0,5,4,1,0,50.0,40.0,10.0,.0,6,2,2,0,60.0,20.0,20.0,.0,3,4,2,1,30.0,40.0,20.0,10.0
020204,Ancash,Aija,La Merced,100.0,97.4,13,14,9,2,33.7,37.1,23.9,5.4,15,11,5,7,38.7,29.2,13.4,18.7,5,16,11,6,13.0,41.9,29.2,15.8
