Año,Código DRE,Nombre DRE,Código UGEL,Nombre UGEL ,Evaluación,Grado,Competencia,Medida Promedio,Nivel de Logro: En inicio,Nivel de Logro: En proceso,Nivel de Logro: Satisfactorio
2015,800,Cusco,80001,Cusco,ECE2015,SEGUNDO,MATEMÁTICA,615,"16,4","44,9","38,7"
2015,800,Cusco,80002,Acomayo,ECE2015,SEGUNDO,LECTURA,559,"8,4","60,6",31
2015,800,Cusco,80002,Acomayo,ECE2015,SEGUNDO,MATEMÁTICA,537,"41,9",40,"18,1"
2015,800,Cusco,80003,Anta,ECE2015,SEGUNDO,LECTURA,567,"6,3","58,1","35,6"
2015,800,Cusco,80003,Anta,ECE2015,SEGUNDO,MATEMÁTICA,566,"32,0","44,8","23,2"
2015,800,Cusco,80004,Calca,ECE2015,SEGUNDO,LECTURA,575,"8,7","48,4","42,9"
2015,800,Cusco,80004,Calca,ECE2015,SEGUNDO,MATEMÁTICA,578,"32,0","39,7","28,3"
2015,800,Cusco,80005,Canas,ECE2015,SEGUNDO,LECTURA,575,"2,8","55,9","41,3"
2015,800,Cusco,80005,Canas,ECE2015,SEGUNDO,MATEMÁTICA,582,"24,0","46,9","29,1"
2015,800,Cusco,80006,Canchis,ECE2015,SEGUNDO,LECTURA,591,"4,8","46,5","48,7"
2015,800,Cusco,80006,Canchis,ECE2015,SEGUNDO,MATEMÁTICA,597,"23,9","42,3","33,9"
2015,800,Cusco,80007,Chumbivilcas,ECE2015,SEGUNDO,LECTURA,559,"8,3","59,9","31,8"
2015,800,Cusco,80007,Chumbivilcas,ECE2015,SEGUNDO,MATEMÁTICA,557,"34,8","45,2",20
2015,800,Cusco,80008,Espinar,ECE2015,SEGUNDO,LECTURA,635,"1,7",32,"66,2"
2015,800,Cusco,80008,Espinar,ECE2015,SEGUNDO,MATEMÁTICA,644,"12,5","39,4","48,1"
2015,800,Cusco,80009,La Convención,ECE2015,SEGUNDO,LECTURA,568,"9,2","53,4","37,4"
2015,800,Cusco,80009,La Convención,ECE2015,SEGUNDO,MATEMÁTICA,549,"36,7","44,5","18,9"
2015,800,Cusco,80010,Paruro,ECE2015,SEGUNDO,LECTURA,557,"11,7",56,"32,3"
2015,800,Cusco,80010,Paruro,ECE2015,SEGUNDO,MATEMÁTICA,557,"39,4",37,"23,6"
2015,800,Cusco,80011,Paucartambo,ECE2015,SEGUNDO,LECTURA,530,"19,2","59,1","21,8"
2015,800,Cusco,80011,Paucartambo,ECE2015,SEGUNDO,MATEMÁTICA,527,"50,0","32,5","17,5"
2015,800,Cusco,80012,Quispicanchi,ECE2015,SEGUNDO,LECTURA,581,"4,8","54,6","40,6"
2015,800,Cusco,80012,Quispicanchi,ECE2015,SEGUNDO,MATEMÁTICA,576,"31,7",41,"27,2"
2015,800,Cusco,80013,Urubamba,ECE2015,SEGUNDO,LECTURA,600,"3,8","44,7","51,5"
2015,800,Cusco,80013,Urubamba,ECE2015,SEGUNDO,MATEMÁTICA,594,"23,8","43,8","32,4"
2015,800,Cusco,80014,Pichari-Kimbiri,ECE2015,SEGUNDO,LECTURA,549,"11,0","61,2","27,8"
2015,800,Cusco,80014,Pichari-Kimbiri,ECE2015,SEGUNDO,MATEMÁTICA,524,"47,2",41,"11,8"
2015,900,Huancavelica,90001,Huancavelica,ECE2015,SEGUNDO,LECTURA,565,"7,8","54,7","37,5"
2015,900,Huancavelica,90001,Huancavelica,ECE2015,SEGUNDO,MATEMÁTICA,559,"35,4",44,"20,6"
2015,900,Huancavelica,90002,Acobamba,ECE2015,SEGUNDO,LECTURA,571,"1,3","63,5","35,2"
2015,900,Huancavelica,90002,Acobamba,ECE2015,SEGUNDO,MATEMÁTICA,569,"27,2","55,5","17,3"
2015,900,Huancavelica,90003,Angaraes,ECE2015,SEGUNDO,LECTURA,581,"4,3","51,8","43,9"
2015,900,Huancavelica,90003,Angaraes,ECE2015,SEGUNDO,MATEMÁTICA,607,"21,6",43,"35,5"
2015,900,Huancavelica,90004,Castrovirreyna,ECE2015,SEGUNDO,LECTURA,588,"1,2","57,4","41,4"
2015,900,Huancavelica,90004,Castrovirreyna,ECE2015,SEGUNDO,MATEMÁTICA,605,"15,4","49,4","35,2"
2015,900,Huancavelica,90005,Churcampa,ECE2015,SEGUNDO,LECTURA,561,"5,5","62,9","31,6"
2015,900,Huancavelica,90005,Churcampa,ECE2015,SEGUNDO,MATEMÁTICA,582,"25,6","47,8","26,7"
2015,900,Huancavelica,90006,Huaytará,ECE2015,SEGUNDO,LECTURA,601,"1,0","44,9","54,1"
2015,900,Huancavelica,90006,Huaytará,ECE2015,SEGUNDO,MATEMÁTICA,628,"14,5","45,9","39,6"
2015,900,Huancavelica,90007,Tayacaja,ECE2015,SEGUNDO,LECTURA,575,"4,8","55,9","39,4"
2015,900,Huancavelica,90007,Tayacaja,ECE2015,SEGUNDO,MATEMÁTICA,587,"25,2","46,1","28,7"
2015,900,Huancavelica,90009,Surcubamba,ECE2015,SEGUNDO,LECTURA,551,"8,9","63,4","27,7"
2015,900,Huancavelica,90009,Surcubamba,ECE2015,SEGUNDO,MATEMÁTICA,559,"33,6","48,6","17,8"
2015,1000,Huánuco,100001,Huánuco,ECE2015,SEGUNDO,LECTURA,578,"9,0","47,2","43,8"
2015,1000,Huánuco,100001,Huánuco,ECE2015,SEGUNDO,MATEMÁTICA,559,"36,1","40,2","23,7"
2015,1000,Huánuco,100002,Ambo,ECE2015,SEGUNDO,LECTURA,551,"12,5","57,8","29,6"
2015,1000,Huánuco,100002,Ambo,ECE2015,SEGUNDO,MATEMÁTICA,550,"39,0","38,1",23
2015,1000,Huánuco,100003,Dos de Mayo,ECE2015,SEGUNDO,LECTURA,541,"14,5","58,2","27,3"
2015,1000,Huánuco,100003,Dos de Mayo,ECE2015,SEGUNDO,MATEMÁTICA,542,"43,8","34,3","21,9"
2015,1000,Huánuco,100004,Lauricocha,ECE2015,SEGUNDO,LECTURA,554,"6,2",64,"29,8"
2015,1000,Huánuco,100004,Lauricocha,ECE2015,SEGUNDO,MATEMÁTICA,557,"33,2","44,9","21,8"
2015,1000,Huánuco,100005,Yarowilca,ECE2015,SEGUNDO,LECTURA,547,"11,0","59,6","29,3"
2015,1000,Huánuco,100005,Yarowilca,ECE2015,SEGUNDO,MATEMÁTICA,546,"36,5","44,2","19,3"
2015,1000,Huánuco,100006,Huacaybamba,ECE2015,SEGUNDO,LECTURA,545,"15,3","57,5","27,1"
2015,1000,Huánuco,100006,Huacaybamba,ECE2015,SEGUNDO,MATEMÁTICA,537,"47,8",33,"19,2"
2015,1000,Huánuco,100007,Huamalíes,ECE2015,SEGUNDO,LECTURA,549,"11,1",61,"27,9"
2015,1000,Huánuco,100007,Huamalíes,ECE2015,SEGUNDO,MATEMÁTICA,556,"38,8","38,9","22,4"
2015,1000,Huánuco,100008,Leoncio Prado,ECE2015,SEGUNDO,LECTURA,580,"7,2","48,8",44
2015,1000,Huánuco,100008,Leoncio Prado,ECE2015,SEGUNDO,MATEMÁTICA,569,"33,0","41,8","25,2"
2015,1000,Huánuco,100009,Marañón,ECE2015,SEGUNDO,LECTURA,515,"21,4","62,4","16,2"
2015,1000,Huánuco,100009,Marañón,ECE2015,SEGUNDO,MATEMÁTICA,510,"56,8","32,2","11,1"
2015,1000,Huánuco,100010,Pachitea,ECE2015,SEGUNDO,LECTURA,545,"13,8","58,9","27,4"
2015,1000,Huánuco,100010,Pachitea,ECE2015,SEGUNDO,MATEMÁTICA,546,"40,9",39,"20,1"
2015,1000,Huánuco,100011,Puerto Inca,ECE2015,SEGUNDO,LECTURA,562,"8,7","55,4","35,9"
2015,1000,Huánuco,100011,Puerto Inca,ECE2015,SEGUNDO,MATEMÁTICA,562,"35,4","43,3","21,2"
2015,1100,Ica,110001,Ica,ECE2015,SEGUNDO,LECTURA,612,"2,2",39,"58,8"
2015,1100,Ica,110001,Ica,ECE2015,SEGUNDO,MATEMÁTICA,604,"21,3","44,2","34,5"
2015,1100,Ica,110002,Chincha,ECE2015,SEGUNDO,LECTURA,599,"4,1","42,5","53,4"
2015,1100,Ica,110002,Chincha,ECE2015,SEGUNDO,MATEMÁTICA,596,"24,2","42,5","33,2"
2015,1100,Ica,110003,Nazca,ECE2015,SEGUNDO,LECTURA,643,"1,6","23,5","74,9"
2015,1100,Ica,110003,Nazca,ECE2015,SEGUNDO,MATEMÁTICA,672,"5,8","35,1","59,1"
2015,1100,Ica,110004,Palpa,ECE2015,SEGUNDO,LECTURA,654,"0,5","20,1","79,5"
2015,1100,Ica,110004,Palpa,ECE2015,SEGUNDO,MATEMÁTICA,714,"3,2","24,2","72,6"
2015,1100,Ica,110005,Pisco,ECE2015,SEGUNDO,LECTURA,606,"3,1","40,9",56
2015,1100,Ica,110005,Pisco,ECE2015,SEGUNDO,MATEMÁTICA,598,"23,8","41,9","34,4"
2015,1200,Junín,120001,Huancayo,ECE2015,SEGUNDO,LECTURA,619,"2,0","36,4","61,6"
2015,1200,Junín,120001,Huancayo,ECE2015,SEGUNDO,MATEMÁTICA,614,"19,2","41,5","39,3"
2015,1200,Junín,120002,Chupaca,ECE2015,SEGUNDO,LECTURA,582,"3,4","55,2","41,4"
2015,1200,Junín,120002,Chupaca,ECE2015,SEGUNDO,MATEMÁTICA,579,"26,5","47,7","25,8"
2015,1200,Junín,120003,Concepción,ECE2015,SEGUNDO,LECTURA,572,"6,8",53,"40,2"
2015,1200,Junín,120003,Concepción,ECE2015,SEGUNDO,MATEMÁTICA,575,"30,0","43,8","26,2"
2015,1200,Junín,120004,Chanchamayo,ECE2015,SEGUNDO,LECTURA,587,"5,2","48,5","46,3"
2015,1200,Junín,120004,Chanchamayo,ECE2015,SEGUNDO,MATEMÁTICA,579,"28,4","44,9","26,8"
2015,1200,Junín,120005,Jauja,ECE2015,SEGUNDO,LECTURA,597,"4,1","46,3","49,7"
2015,1200,Junín,120005,Jauja,ECE2015,SEGUNDO,MATEMÁTICA,590,"26,3","41,7",32
2015,1200,Junín,120006,Junín,ECE2015,SEGUNDO,LECTURA,583,"4,4","51,2","44,4"
2015,1200,Junín,120006,Junín,ECE2015,SEGUNDO,MATEMÁTICA,586,"28,5","37,8","33,7"
2015,1200,Junín,120007,Satipo,ECE2015,SEGUNDO,LECTURA,579,"6,2",52,"41,7"
2015,1200,Junín,120007,Satipo,ECE2015,SEGUNDO,MATEMÁTICA,577,"31,1","39,9","29,1"
